What is an electronvolt? | The energy gained by an electron travelling through a potential difference of one volt, equal to $1.60 \times 10^{-19}$ J
The energy gained by an electron travelling through a potential difference of one volt — what unit is this? | The electronvolt (eV)
Why is the electronvolt used in quantum physics? | Quantum energies are much smaller than 1 joule, so the electronvolt provides a more convenient unit
How do you convert energy from eV to joules? | Multiply by $1.6 \times 10^{-19}$
How do you convert energy from joules to eV? | Divide by $1.6 \times 10^{-19}$
What equation relates the kinetic energy gained by an electron accelerated from rest to the potential difference it travels through? | $eV = \frac{1}{2}mv^2$
What is the equation for the speed of an electron accelerated from rest through a potential difference $V$? | $v = \sqrt{\frac{2eV}{m}}$
What is the equation for the energy of a photon in terms of frequency? | $E = hf$
What is the equation for the energy of a photon in terms of wavelength? | $E = \frac{hc}{\lambda}$
What is the photoelectric effect? | The emission of electrons from the surface of a metal upon absorption of electromagnetic radiation
The emission of electrons from the surface of a metal upon absorption of electromagnetic radiation — what phenomenon is this? | The photoelectric effect
What are photoelectrons? | Electrons emitted from a metal surface by the photoelectric effect
What evidence does the photoelectric effect provide about the nature of light? | Light is quantised (carried in discrete packets), shown by the fact that each electron absorbs only a single photon
What is the threshold frequency? | The minimum frequency of incident electromagnetic radiation required to remove a photoelectron from the surface of a metal
The minimum frequency of incident electromagnetic radiation required to remove a photoelectron from the surface of a metal — what term is this? | Threshold frequency
What is the threshold wavelength? | The longest wavelength of incident electromagnetic radiation that would remove a photoelectron from the surface of a metal
The longest wavelength of incident electromagnetic radiation that would remove a photoelectron from the surface of a metal — what term is this? | Threshold wavelength
What determines the values of threshold frequency and threshold wavelength? | They are properties of the material and vary from metal to metal
In what region of the electromagnetic spectrum do alkali metals (e.g. sodium, potassium) have their threshold frequencies? | The visible light region
Explain why alkali metals have threshold frequencies in the visible light region | The attractive forces between surface electrons and positive metal ions are relatively weak, so less energy is needed to release photoelectrons
In what region of the electromagnetic spectrum do transition metals (e.g. zinc, iron) have their threshold frequencies? | The ultraviolet region
Explain why transition metals have threshold frequencies in the ultraviolet region | The attractive forces between surface electrons and positive metal ions are much stronger, so more energy is needed to release photoelectrons
What is the work function ($\Phi$) of a metal? | The minimum energy required to release a photoelectron from the surface of a metal
The minimum energy required to release a photoelectron from the surface of a metal — what quantity is this? | The work function ($\Phi$)
How many photons can a single electron absorb in the photoelectric effect? | One
What condition must a photon's energy meet for an electron to escape the metal surface? | The photon energy must be equal to or greater than the work function ($\Phi$)
What is the stopping potential ($V_s$)? | The potential difference required to stop photoelectron emission from occurring
The potential difference required to stop photoelectron emission from occurring — what quantity is this? | The stopping potential ($V_s$)
In a photoelectric experiment, what is the role of the emitter plate? | The metal plate that photons strike, causing photoelectrons to be emitted from its surface
In a photoelectric experiment, what is the role of the collector plate? | The metal plate that collects the photoelectrons after they cross the gap
What equation relates the maximum kinetic energy of photoelectrons to the stopping potential? | $E_{k\,\text{max}} = eV_s$
What is the photoelectric equation? | $hf = \Phi + E_{k\,\text{max}}$
What does the equation $hf_0 = \Phi$ represent? | At the threshold frequency $f_0$, the photon energy exactly equals the work function, so photoelectric emission only just occurs with zero kinetic energy
What is the photoelectric equation rearranged into the form $y = mx + c$? | $E_{k(\text{max})} = hf - \Phi$
On a graph of $E_{k(\text{max})}$ against frequency $f$, what does the gradient represent? | Planck's constant ($h$)
On a graph of $E_{k(\text{max})}$ against frequency $f$, what does the y-intercept represent? | The negative of the work function ($-\Phi$)
On a graph of $E_{k(\text{max})}$ against frequency $f$, what does the x-intercept represent? | The threshold frequency ($f_0$)
What is the effect of increasing the intensity of incident radiation on the maximum kinetic energy of photoelectrons? | No effect — maximum kinetic energy is independent of intensity
What two factors determine the maximum kinetic energy of emitted photoelectrons? | The frequency of the incident photons and the work function of the metal
Explain why increasing the intensity of incident radiation does not affect the maximum kinetic energy of photoelectrons | Each electron absorbs only one photon. Intensity affects the number of photons (and hence photoelectrons), not the energy of each photon
What happens when photons with frequency below the threshold frequency are incident on a metal? | No electrons are emitted, regardless of the intensity of the radiation
Why is the kinetic energy of photoelectrons quoted as a maximum? | Surface electrons need only the work function to escape and retain the most kinetic energy. Electrons deeper in the metal use extra energy reaching the surface and emerge with less
What is the photoelectric current a measure of? | The number of photoelectrons emitted per second
What is the relationship between photoelectric current and the intensity of incident radiation? | Photoelectric current is proportional to intensity
Explain why photoelectric current is proportional to the intensity of incident radiation | Intensity is proportional to the number of photons striking the metal per second. Each photoelectron absorbs one photon, so more photons means more photoelectrons
What happens to the photoelectric current when the frequency of incident radiation is increased while intensity is kept constant? | The photoelectric current decreases
Explain why increasing frequency at constant intensity decreases the photoelectric current | At higher frequency each photon carries more energy, so fewer photons are needed to maintain the same intensity. Fewer photons means fewer photoelectrons
What is the equation relating intensity to the number of photons? | $I = \frac{nhf}{tA}$
If the frequency of incident light changes but the number of photons emitted per second stays constant, what happens to the photoelectric current? | It remains constant
How are threshold frequency and threshold wavelength related? | $c = f_0 \lambda_0$. Threshold frequency is a minimum while threshold wavelength is a maximum, because frequency and wavelength are inversely proportional
