What are the three stages of how a search engine works? | Crawling, indexing, ranking
What is a web crawler? | A software program (also called a spider, bot, or robot) that follows links between web pages to discover content for a search engine
A software program that follows links between web pages to discover content for search engines — what is this called? | Web crawler (also called a spider, bot, or robot)
What file do website owners use to direct crawlers on which areas of a site to explore or avoid? | robots.txt
What does a web crawler do when it reaches a webpage? | Fetches the HTML content, examines the structure, and retrieves information such as text, headings, links, and metadata
What is search engine indexing? | Storing information collected from web pages in a structured manner within a search engine's database for quick retrieval
Storing information collected from web pages in a structured manner within a search engine's database — what is this process called? | Search engine indexing
What information is stored in a search engine index for each word on a page? | The word itself and its position on the page
Why does indexing enable efficient retrieval of search results? | The search engine can search its indexed data instead of scanning the entire web for every query
Why do search engine crawlers periodically revisit indexed web pages? | To detect updates and changes so that search results display the latest content
Who originally developed the PageRank algorithm? | Larry Page and Sergey Brin
What does the PageRank algorithm evaluate? | The perceived relevance and importance of web pages, based primarily on the structure of links between them
In PageRank, what does each inbound link to a page act as? | A "vote" for the target page, with the voting weight determined by the importance of the linking page
In PageRank, how does a page distribute its importance to pages it links to? | It shares a portion of its importance with each outgoing link
How does the iterative calculation work in PageRank? | Every page starts with the same value; in each iteration the significance of each page is re-evaluated using weighted inbound links until rankings stabilise
What is the damping factor in PageRank? | A value between 0 and 1 (usually 0.85) representing the probability that a user will not follow a link and will instead jump to a random page
What is the usual value of the damping factor in PageRank? | 0.85
Why is the damping factor needed in PageRank? | It prevents the algorithm from getting stuck in infinite loops and makes the model more realistic
What is the PageRank formula? | $PR(x) = (1 - d) + d\left[\frac{PR(T_1)}{C(T_1)} + \ldots + \frac{PR(T_n)}{C(T_n)}\right]$ where $d$ is the damping factor and $C(T_n)$ is the count of outbound links from page $T_n$
In the PageRank formula, what does $C(T_n)$ represent? | The total count of outbound links from page $T_n$
What data structure is used to represent link relationships between web pages in PageRank? | A directed graph, where nodes represent pages and arcs (directed edges) represent links
How does content relevance influence search ranking? | The keywords used, quality of content, and how closely it matches the search query all affect a page's ranking
What user engagement metrics can influence search rankings? | Click-through rates, dwell time (time spent on page), and bounce rates
How does mobile-friendliness affect search rankings? | Search engines factor in mobile compatibility when ranking pages; responsive design and optimised mobile experience have a positive impact
What is server side processing? | Running code and carrying out operations on the server instead of on the client's device or browser
Running code on the server instead of on the client's device — what type of processing is this? | Server side processing
What is client side processing? | Carrying out code or processing tasks on the user's device, usually within the web browser, instead of on the server
Carrying out code or processing tasks on the user's device within the web browser — what type of processing is this? | Client side processing
What is the primary language used for client side processing? | JavaScript
What is PHP? | Hypertext Pre-processor, a server side scripting language specifically designed for web development
Hypertext Pre-processor — what abbreviation is this? | PHP
How does server side processing improve security compared to client side? | Sensitive data is handled on the server, allowing implementation of access controls and protection against common web vulnerabilities; the code is not visible to users
Why is client side code a potential security risk? | The code can be viewed, copied, and modified by users, which may expose sensitive information or allow tampering
How does client side processing reduce server load? | Processing tasks are offloaded to the client's device, improving server scalability and resource utilisation
Why might server side processing result in slower response times than client side? | It requires a roundtrip to the server for each user action, adding latency
What is a key limitation of relying on JavaScript for client side processing? | If the user's browser does not support or has disabled JavaScript, the functionality may become inaccessible or break
When should client side processing be chosen over server side? | For tasks requiring immediate user feedback, real-time interactions, dynamic user interfaces, or data manipulation within the browser
When should server side processing be chosen over client side? | For tasks involving database access, handling sensitive data, complex business logic, or server-specific operations
What is DOM manipulation in JavaScript? | Modifying the Document Object Model to make dynamic changes to a web page's content and structure, such as adding or removing elements, updating text, or modifying styles
