What is a database? | An organised collection of data that allows easy storage, retrieval, and management of information
What is a field in a database? | A single piece of data in a record
What is a record in a database? | A group of related fields representing one data entry (one complete row in a table)
What is a table in a database? | A collection of records with a similar structure
What is a primary key? | A unique identifier for each record in a table
A unique identifier for each record in a table — what term is this? | Primary key
What is a compound (composite) primary key? | A combination of two or more fields that together uniquely identify each record
What is a foreign key? | A field in one table that references the primary key in another table, used to link tables together
A field in one table that references the primary key in another table — what term is this? | Foreign key
What is a secondary key? | A field that is indexed to enable faster searching of the database
What is a DBMS? | Database Management System — software used to create, manage, and query databases (e.g. MySQL, Oracle, PostgreSQL)
What is an entity in database design? | An item of interest about which data is stored, which becomes a table in a relational database
What are attributes in database design? | Characteristics of an entity — the fields or columns about which data is collected
How is a primary key shown in database entity notation? | By underlining it
How is a foreign key shown in database entity notation? | With an asterisk (*)
What is a flat file database? | A database that stores all data in a single table
A database that stores all data in a single table — what term is this? | Flat file database
What is a relational database? | A database that organises data into multiple linked tables, using keys to connect related data
What problem does a flat file cause when data needs updating? | The same data appears in multiple records, so updating one instance but missing others creates data inconsistency
How does a relational database reduce data redundancy? | By splitting data into separate linked tables so each piece of data is stored only once
What is indexing in a database? | A method of storing the position of each record ordered by a certain attribute, allowing the DBMS to look up and access data quickly
Why are secondary keys used for indexing rather than primary keys? | Users rarely know or query primary keys — secondary keys like surname are the fields people actually search on
What is normalisation? | The process of organising a relational database to reduce data duplication and improve data accuracy and consistency
The process of organising a database to reduce redundancy and improve consistency — what is this called? | Normalisation
What does "atomic" mean in the context of first normal form? | Each field contains only a single, indivisible value — no lists or multiple values
State the requirements for first normal form (1NF) | Atomic values (no multi-value fields), no repeating groups, and a primary key for each row
What additional requirement does second normal form (2NF) add beyond 1NF? | No partial dependencies — every non-key attribute must depend on the entire primary key, not just part of a composite key
2NF is only relevant to tables with what kind of key? | A composite (compound) primary key — tables with a single-field primary key that are in 1NF are automatically in 2NF
What is a partial dependency? | When a non-key attribute depends on only part of a composite primary key rather than the whole key
What additional requirement does third normal form (3NF) add beyond 2NF? | No transitive dependencies — every non-key attribute must depend only on the primary key, not on any other non-key attribute
What is a transitive dependency? | When a non-key attribute depends on another non-key attribute rather than directly on the primary key
What is an entity relationship diagram (ERD)? | A diagram showing the entities (tables) in a database and the relationships between them, drawn using crow's foot notation
Name the three types of relationship between database entities | One-to-one, one-to-many, many-to-many
How is a one-to-one relationship shown in crow's foot notation? | A single straight line connecting the two entities
How is a one-to-many relationship shown in crow's foot notation? | A single line on the "one" side and a branch (crow's foot) on the "many" side
How is a many-to-many relationship shown in crow's foot notation? | Branches (crow's feet) on both sides
