What are energy levels? | Specific, discrete energy states that electrons in an atom can occupy
Why do electrons occupy the lowest possible energy level? | This is the most stable configuration for the atom
Define excitation | When an electron absorbs enough energy to move up to a higher energy level
When an electron absorbs enough energy to move up to a higher energy level — what term is this? | Excitation
What happens to an atom when one of its electrons is excited to a higher energy level? | The atom is said to be in an excited state
How can an electron be excited to a higher energy level? | By absorbing a photon or through a collision with another electron
Define de-excitation | When an electron moves from a higher energy level to a lower one, emitting a photon
When an electron moves from a higher energy level to a lower one, emitting a photon — what term is this? | De-excitation
Define ionisation | When an atom gains or loses an orbital electron and becomes charged
When an atom gains or loses an orbital electron and becomes charged — what term is this? | Ionisation
What is the ionisation energy of an atom? | The minimum energy required to remove an electron from the ground state of the atom
The minimum energy required to remove an electron from the ground state of an atom — what quantity is this? | Ionisation energy
What is inside a fluorescent tube? | Low-pressure mercury vapour in a partially evacuated glass tube with a phosphor coating on the inside
In a fluorescent tube, what happens when a high voltage is applied? | Electrons flow from cathode to anode, forming a beam that collides with mercury atoms, transferring kinetic energy
In a fluorescent tube, what type of photons do mercury atoms emit when their electrons de-excite? | Ultraviolet (UV) photons
What is the role of the phosphor coating in a fluorescent tube? | UV photons excite electrons in the phosphor atoms; as they de-excite in stages, they emit lower-energy visible light photons
On an energy level diagram, what does the bottom line with the most negative energy represent? | The ground state
On an energy level diagram, what does the top line at 0 eV represent? | The ionisation level
What is the ground state energy of the hydrogen atom? | $-13.6$ eV
What are line spectra? | Discrete wavelengths of light emitted or absorbed by excited atoms, observed as a series of lines with spaces between them
These series of discrete spectral lines produced by excited atoms — what are they called? | Line spectra (or atomic spectra)
Why can each element be identified by its line spectrum? | No two elements produce the same set of spectral lines, because each element has a unique set of energy levels
What are the two types of line spectra? | Emission spectra and absorption spectra
How is an emission spectrum produced? | Electrons transition from higher to lower energy levels, emitting photons at discrete wavelengths
What does an emission spectrum look like? | Coloured lines on a black background, each at a discrete wavelength
How is an absorption spectrum produced? | White light passes through a cool, low-pressure gas; atoms absorb photons at wavelengths matching their energy level differences
What does an absorption spectrum look like? | A continuous spectrum (all colours) with dark lines at specific wavelengths
Why do dark lines appear in an absorption spectrum? | Absorbed photons are re-emitted in all directions rather than the original direction, so those wavelengths appear missing from the transmitted light
How do the wavelengths of dark lines in an absorption spectrum relate to the emission spectrum of the same element? | They occur at the same wavelengths
How does an emission spectrum differ from an absorption spectrum? | Emission: coloured lines on a black background (from electron de-excitation). Absorption: dark lines on a continuous spectrum (from photon absorption by a cool gas)
What evidence do line spectra provide about atomic structure? | That electrons in atoms can only occupy and transition between discrete energy levels
What equation relates the energy of an emitted or absorbed photon to its frequency and wavelength? | $\Delta E = hf = \frac{hc}{\lambda}$
What equation relates photon energy to the difference between two energy levels? | $hf = E_2 - E_1$ (take the magnitude of the difference)
What equation gives the wavelength of a photon from an energy level transition? | $\lambda = \frac{hc}{E_2 - E_1}$
How does the energy difference between two levels relate to the wavelength of the photon? | Larger energy difference gives shorter wavelength; smaller energy difference gives longer wavelength
How do you convert energy in electron volts to joules? | Multiply by $1.6 \times 10^{-19}$
What is wave-particle duality? | The phenomenon where light and matter can behave both as waves and as particles
Light and matter can behave both as waves and as particles — what is this phenomenon called? | Wave-particle duality
What evidence shows that light behaves as a particle? | The photoelectric effect
What evidence shows that light behaves as a wave? | Diffraction and interference (e.g. Young's double-slit experiment)
Why does the wave theory of light fail to explain the photoelectric effect? | Wave theory predicts any frequency should cause emission given enough time and that kinetic energy should increase with intensity, but neither is observed
In the photoelectric effect, what happens when light intensity increases above the threshold frequency? | More photoelectrons are emitted per second, but their maximum kinetic energy does not change
What evidence shows that electrons can behave as waves? | A diffraction pattern of concentric rings is produced when a beam of electrons is directed at a thin graphite film
Why is graphite suitable for demonstrating electron diffraction? | Its crystalline structure has regular atomic spacing similar in size to the de Broglie wavelength, with gaps between atom planes acting as slits
In electron diffraction, what happens to the ring diameter when the accelerating voltage increases? | The diameter decreases (higher speed gives shorter de Broglie wavelength and less diffraction)
In electron diffraction, what would be observed if electrons behaved only as particles? | A uniform distribution across the screen with no diffraction pattern
What does the de Broglie equation relate? | Wavelength (a wave property) to momentum (a particle property)
State the de Broglie equation | $\lambda = \frac{h}{p} = \frac{h}{mv}$
What is the de Broglie wavelength in terms of kinetic energy? | $\lambda = \frac{h}{\sqrt{2mE}}$
How is momentum related to kinetic energy? | $p = \sqrt{2mE}$
What equation relates the kinetic energy of an electron accelerated from rest through a potential difference $V$? | $E_k = \frac{1}{2}mv^2 = eV$
How does increasing momentum affect the de Broglie wavelength? | Greater momentum gives a shorter de Broglie wavelength
How does the de Broglie wavelength affect the radius of an electron diffraction pattern? | Longer wavelength gives a larger radius (more diffraction); shorter wavelength gives a smaller radius (less diffraction)
For two particles accelerated through the same potential difference, how do their de Broglie wavelengths compare? | $\lambda \propto \frac{1}{\sqrt{m}}$, so the lighter particle has the longer de Broglie wavelength
How can an observed electron diffraction pattern be used? | To deduce the crystal structure that produced the pattern
Why are high-energy electrons used to investigate the size of an atomic nucleus? | They have a very short de Broglie wavelength, small enough to probe structures on the scale of a nucleus
Who are considered the pioneers of quantum theory? | Max Planck, Niels Bohr, and Albert Einstein
What is peer review? | The evaluation of scientific research by other expert scientists before publication in journals
The evaluation of scientific research by other expert scientists before publication in journals — what is this process called? | Peer review
What three aspects must peer reviewers check? | Validity (appropriate method, errors addressed), originality (new results, prior work credited), and significance (important findings)
What is the difference between repeatable and reproducible results? | Repeatable: same scientists obtain the same results. Reproducible: different teams of scientists obtain the same results
Why should claims from non-peer-reviewed research be questioned? | The method, accuracy of results, or conclusions drawn may contain unchecked problems
