What is an integer data type? | A whole number, either positive or negative, with no fractional part. Useful for counting
A whole number with no fractional part — what data type is this? | Integer
What is a real (floating point) data type? | A number that can, but does not necessarily, have a fractional part. Useful for measuring
A number that can have a fractional part, positive or negative — what data type is this? | Real (floating point)
What is a character data type? | A single symbol such as a letter, digit, or symbol (e.g. 'A', '7', '%')
A single symbol such as a letter, digit, or symbol — what data type is this? | Character
What is a string data type? | A collection (sequence) of characters, useful for storing text and data like phone numbers that must preserve leading zeros
A collection of characters — what data type is this? | String
What is a Boolean data type? | A data type restricted to one of two values: True or False. Useful for recording states that can only be one of two things
A data type restricted to True or False — what data type is this? | Boolean
What is casting? | Converting a value from one data type to another (e.g. string to integer)
Changing one data type to another — what is this process called? | Casting
Why is casting often necessary for user input? | User input is typically received as a string, so it must be cast to a numerical type (integer or real) before arithmetic or numerical comparisons can be performed
Why do computers use binary to store data? | Computers are made up of circuits and switches that are either on (1) or off (0), so binary (base 2) maps directly to their physical design
What is a bit? | The smallest unit of digital information, representing either a 0 (off) or a 1 (on)
The smallest unit of digital information — what is this called? | A bit
What is a byte? | A group of 8 bits
What is a nibble (nybble)? | A group of 4 bits (half a byte)
In an 8-bit unsigned binary number, what place value does each column represent from left to right? | $2^7$ (128), $2^6$ (64), $2^5$ (32), $2^4$ (16), $2^3$ (8), $2^2$ (4), $2^1$ (2), $2^0$ (1)
What is the most significant bit (MSB)? | The bit furthest to the left in a binary number, with the highest place value
What is the least significant bit (LSB)? | The bit furthest to the right in a binary number, with the lowest place value ($2^0 = 1$)
How do you convert an unsigned binary number to denary? | Multiply each bit by its column place value ($2^n$) and sum all the results
How do you convert a denary number to unsigned binary? | Starting from the highest power of 2, place a 1 if the place value is less than or equal to the remaining value (then subtract it), otherwise place a 0
What is the maximum value of an 8-bit unsigned binary number? | 255 ($2^8 - 1$)
What is the difference between unsigned and signed binary? | Unsigned represents only positive values (0 upward); signed can represent both positive and negative values
What are the two methods for representing negative numbers in binary at A Level? | Sign and magnitude, and two's complement
How does sign and magnitude representation work? | The MSB is a sign bit (0 = positive, 1 = negative) and the remaining bits represent the magnitude of the number
How do you convert a sign and magnitude binary number to denary? | Note the MSB for the sign, discard it, convert the remaining bits to denary as normal, then apply the sign
What is the consequence of using a sign bit in sign and magnitude? | The maximum positive value is halved because the MSB is used for the sign rather than a place value
How do you convert a positive denary number to its two's complement negative? | Write the positive number in binary, invert all the bits (flip 0s to 1s and 1s to 0s), then add 1
In 8-bit two's complement, what does the MSB represent? | A place value of $-128$
How do you convert an 8-bit two's complement number to denary? | Assign $-128$ to the MSB and normal positive place values to the remaining bits; sum the place values of all bits set to 1
What is the range of an 8-bit two's complement number? | $-128$ to $+127$
Why is two's complement preferred over sign and magnitude for arithmetic? | Two's complement allows subtraction to be performed using addition circuitry, making calculations simpler and less computationally intensive
How does sign and magnitude differ from two's complement? | Sign and magnitude prefixes a sign bit to the magnitude (the rest of the bits are unchanged); two's complement makes the MSB negative and the remaining bits count upward from it, enabling simpler arithmetic
What are the four rules of binary addition? | $0+0=0$, $0+1=1$, $1+1=10$ (0 carry 1), $1+1+1=11$ (1 carry 1)
What is an overflow error in binary addition? | When the result of adding two binary numbers exceeds the number of bits available, producing an incorrect or truncated result
How can overflow affect signed binary arithmetic? | It can flip the sign bit, incorrectly changing the sign of the result (e.g. adding two positive numbers and getting a negative result)
How is binary subtraction performed using two's complement? | Convert the number being subtracted to its two's complement (invert bits, add 1), then add it to the other number and discard any carry beyond the fixed bit width
What is hexadecimal? | A base-16 number system using the digits 0-9 and letters A-F, where A=10, B=11, C=12, D=13, E=14, F=15
A base-16 number system using digits 0-9 and letters A-F — what is this called? | Hexadecimal
Why is hexadecimal used instead of binary? | It is more concise (one hex digit represents 4 binary bits), easier for humans to read and write, and less error-prone when communicating values
Give three uses of hexadecimal | Defining colours (hex colour codes), debugging and error codes, and representing memory addresses or MAC addresses
How do you convert a binary number to hexadecimal? | Split the binary into nibbles (groups of 4 bits from right to left), then convert each nibble to its hexadecimal equivalent (0-F)
