What is a network? | Two or more interconnected devices with the ability to transmit data between each other
What are the three main purposes of a network? | Data and resource sharing, communication, and collaboration
What is a network protocol? | A set of rules defining how devices communicate with each other over a network
A set of rules defining how devices communicate with each other over a network — what term is this? | Protocol
Why are protocols needed on a network? | They ensure all devices follow the same rules so they interpret data and signals in the same way, regardless of manufacturer
What is a standard in networking? | A set of guidelines that govern how a task should be performed, ensuring compatibility and interoperability across different devices and software
Why are standards needed in a network? | They enable devices from different manufacturers to work together seamlessly and support network expansion without disrupting existing operations
What does HTTP stand for and what is it used for? | HyperText Transfer Protocol; transfers web content (text, images, video) using a request-response model
How does HTTPS differ from HTTP? | HTTPS adds encryption for security, used for secure transactions such as online banking
What does SMTP stand for and what is it used for? | Simple Mail Transfer Protocol; the standard for sending email messages between servers
What does FTP stand for and what is it used for? | File Transfer Protocol; transfers files between hosts over a network, with authentication and directory management
What does the Address Resolution Protocol (ARP) do? | Translates IP addresses into MAC addresses so packets reach the correct device on a local network
What does TCP (Transmission Control Protocol) provide? | Reliable, ordered, and error-checked delivery of packets; it is connection-oriented
How does UDP differ from TCP? | UDP is connectionless and does not guarantee delivery, order, or error-checking, making it faster but less reliable
What is the role of IP (Internet Protocol)? | Addressing and routing packets from the source to the destination device
What are POP3 and IMAP used for? | Email access protocols for retrieving emails from a mail server
What is the Internet? | A global network of networks, connected by large international backbone cables (many passing underwater), allowing computers worldwide to communicate
What is protocol layering? | Dividing network protocols into layers, each performing specific functions, allowing modular design and independent modification
Name one benefit of protocol layering relating to troubleshooting | Breaking networking into manageable layers makes it easier to design, implement, and troubleshoot
Name one benefit of protocol layering relating to updates | Changes can be made to one layer without affecting the others
Name one benefit of protocol layering relating to interoperability | Different technologies can work together because each layer operates independently
What does TCP/IP stand for? | Transmission Control Protocol / Internet Protocol
Name the four layers of the TCP/IP model from top to bottom | Application, Transport, Internet, Link
What does the Application layer of TCP/IP do? | Selects the appropriate protocol based on the application (e.g. HTTP for web, FTP for files) and prepares data for transmission
What does the Transport layer of TCP/IP do? | Splits data into segments, labels them with sequence numbers, total packet count, and port numbers, and manages end-to-end communication
What happens if packets are lost during TCP transmission? | The transport layer detects the loss and requests retransmission of the missing packets
What does the Internet layer of TCP/IP do? | Adds source and destination IP addresses to each packet and routes packets across the network
What does the Link layer of TCP/IP do? | Adds MAC addresses of source and destination devices, creates a physical connection, and converts digital packets into signals (electrical, optical, or wireless) for transmission
What is a socket address? | The combination of an IP address and a port number, used to specify a device and the application running on it
What is encapsulation in the TCP/IP model? | Each layer adds its own header (and the link layer adds a trailer) to the data as it passes down the stack, wrapping it for transmission
What is de-encapsulation? | At the receiving end, each layer removes its header from bottom to top, reversing the encapsulation until the original data is recovered
Name the data unit at each TCP/IP layer from top to bottom | Application: data; Transport: segments; Internet: packets; Link: frames
What is an IP address? | A unique numerical identifier for a device on a network, used to deliver packets to the correct destination
What are the two versions of IP address currently in use? | IPv4 (e.g. 104.22.74.202) and IPv6 (e.g. 0000:0000:0000:0000:0000:ffff:6816:4aca)
What is a port number? | A numerical identifier used by the transport layer to direct data to the correct application or process on a device (e.g. port 80 for HTTP)
What is the Domain Name System (DNS)? | A distributed hierarchical system that translates human-readable domain names into the numeric IP addresses that computers use
A distributed system that translates domain names into IP addresses — what term is this? | Domain Name System (DNS)
What is a DNS resolver? | The first stop in the DNS lookup process, usually provided by the ISP; it checks its cache and queries other DNS servers if the address is not found
What is the role of DNS root servers? | They direct the resolver to the appropriate Top-Level Domain (TLD) server based on the domain extension (e.g. .com, .org)
What does a TLD (Top-Level Domain) server do in the DNS lookup? | Provides the resolver with the IP address of the domain's authoritative DNS server
What does an authoritative DNS server do? | Holds and responds with the actual IP address for the requested domain
What is DNS propagation? | The process of updating DNS records across servers when a domain is newly registered or its server's IP address changes
What benefit does DNS provide to users? | It allows users to access websites using easy-to-remember domain names instead of numeric IP addresses
What is a LAN? | A Local Area Network; a network within a small geographical area (e.g. a single building) where all hardware is typically owned by one entity
A network within a small geographical area with hardware owned by a single entity — what type of network is this? | LAN (Local Area Network)
What is a WAN? | A Wide Area Network; connects multiple LANs over a large geographical area using third-party connections such as leased lines or satellite links
A network connecting multiple LANs over a large geographical area using third-party infrastructure — what type of network is this? | WAN (Wide Area Network)
Why is a LAN considered more secure than a WAN? | All connections in a LAN are owned by the organisation, whereas WAN data travels across third-party public networks
Give two advantages of a WAN | Enables communication between offices in different locations; allows access to central servers and shared databases from anywhere
Give two disadvantages of a WAN | Slower than LANs due to greater transmission distances; more expensive due to leased line or ISP costs and more vulnerable to security risks
What is packetising? | Dividing a large message into smaller, manageable units called packets that can be sent individually over the network
What are the three components of a packet? | Header (metadata for delivery), payload (the actual data), and trailer/footer (error-checking data)
Name three items found in a packet header | Source IP address, destination IP address, and sequence number (packet order)
What is the purpose of the Time To Live (TTL) field in a packet? | It limits how many hops a packet can make across the network, preventing it from circulating indefinitely
What is a checksum? | A value in the packet trailer calculated from the packet data, used to detect whether errors occurred during transmission
What is packet switching? | A communication method where data is broken into packets sent independently via potentially different routes and reassembled at the destination
A method where data is broken into packets sent via different routes and reassembled at the destination — what is this? | Packet switching
Give two advantages of packet switching | Efficient use of network bandwidth as packets share available routes; more reliable since only lost packets need resending, not the entire stream
Give two disadvantages of packet switching | Packets can arrive out of order, requiring reassembly and error-checking; not ideal for real-time services that need a steady data stream
