What is an array? | An ordered, static set of elements of a single data type
An ordered, static set of elements of a single data type - what data structure is this? | Array
What does it mean for an array to be zero-indexed? | The first element is at position 0
How can a 2D array be visualised? | As a table or spreadsheet
In what order do you navigate a 2D array to locate an element? | Down the rows first, then across the columns
How can a 3D array be visualised? | As a multi-page spreadsheet, or multiple 2D arrays
What three indices are needed to access an element in a 3D array? | The array index, the row index, and the column index
What is a record? | A row in a file, made up of fields. Used in databases
A row in a file made up of fields - what data structure is this? | A record
How is a field of a record accessed in pseudocode? | Using dot notation: recordName.fieldName
What is a list? | A data structure consisting of ordered items where items can occur more than once
How do lists differ from arrays in terms of memory storage? | List values are stored non-contiguously in memory, whereas array elements are stored contiguously
How do lists differ from arrays in terms of data types? | Lists can contain more than one data type, whereas arrays store only one
What does the list operation isEmpty() return? | Whether the list is empty (Boolean)
What does append(value) do to a list? | Adds a new value to the end of the list
What does remove(value) do to a list? | Removes the value the first time it appears in the list
What does pop() do to a list? | Returns and removes the last value in the list
What does index(value) return for a list? | The position of the item in the list
What does insert(position, value) do to a list? | Inserts a value at the given position in the list
What does length() return for a list? | The number of items in the list
What is a tuple? | An ordered, immutable set of values of any type
An ordered, immutable set of values of any type - what data structure is this? | A tuple
What brackets are used to initialise a tuple? | Round brackets, e.g. (1, 2, 3)
What does it mean for a tuple to be immutable? | Elements cannot be added, removed, or changed once the tuple has been created
What happens if you attempt to modify a value in a tuple? | A syntax error occurs
How does an array differ from a list in terms of size and storage? | An array is static (fixed size) with contiguous storage and one data type; a list is dynamic with non-contiguous storage and can hold multiple data types
When is a record the appropriate data structure? | When grouping related data that forms a single entity with different fields, such as a contact in an address book
What is a linked list? | A dynamic data structure used to hold an ordered sequence, where each item (node) contains a data field and a pointer to the next node
A dynamic data structure where each node contains a data field and a pointer to the next node - what is this? | A linked list
What two fields does each node in a linked list contain? | A data field (the stored value) and a pointer field (the address of the next node)
What two pointers does a linked list maintain alongside the nodes? | A Start pointer (index of the first item) and a NextFree pointer (index of the next available space)
How is the end of a linked list identified during traversal? | When the pointer field is empty or null
