What is an input in computational thinking? | Any data required to solve a problem, entered by the user or passed as a parameter to a subroutine
What is an output in computational thinking? | The results passed back once inputs have been processed, returned to the calling subroutine or sent to an output device such as a monitor, printer, or speaker
What properties of inputs and outputs must be explicitly defined when designing an algorithm? | Their data type, size, and format
Why should inputs and outputs be defined before implementing an algorithm? | Failing to define them can cause errors and unexpected behaviour when the algorithm encounters data it was not designed to handle
Besides the data values themselves, what two aspects of input should designers consider? | The order in which data is input and the method of input (i.e. the input device used)
In what order do designers typically plan inputs and outputs for a solution? | Start with the required outputs based on user requirements, then work backwards to identify the inputs needed to achieve them
Give two forms output can take other than display on a screen | Audio feedback through a speaker, or physical output such as a printed receipt or dispensed cash
What is a precondition? | A condition that must be true before an algorithm or subroutine can execute successfully without errors
A condition that must be true before an algorithm or subroutine can execute successfully without errors - what term is this? | Precondition
What happens if a precondition is not met when a subroutine runs? | The program will fail to execute correctly or return an invalid answer
State the key precondition that distinguishes binary search from linear search | The input list must already be sorted in order
State two preconditions common to search algorithms | The list must not be empty (to avoid index errors), and all elements including the search target must be the same data type
Why might a bubble sort specify a maximum input size as a precondition? | Bubble sort has $O(n^2)$ time complexity, so a very large input list would take an impractically long time to process
Give two ways preconditions can be enforced | Tested for within the subroutine code itself (validation checks), or specified in the documentation for the caller to ensure before invoking the subroutine
How does specifying preconditions in documentation rather than code affect the subroutine? | It reduces the length and complexity of the subroutine, and saves time needed to debug and maintain a longer program
How do preconditions make subroutines more reusable? | By explicitly defining the conditions under which a subroutine works, it can be placed in a library and called by any program that meets those conditions
What is caching? | Storing frequently used instructions or data values in cache memory after they have been used, so they can be retrieved quickly if needed again
Storing frequently used data in cache memory so it can be retrieved quickly if needed again - what process is this? | Caching
What typically manages caching in a computer system? | The operating system performs caching automatically, though some languages such as C allow direct manipulation of cache hardware
Give two benefits of caching | Frequently used data can be accessed faster than retrieving it from secondary storage, and in web caching it saves bandwidth by not re-downloading content
How does web caching work? | Frequently accessed web pages and images are stored locally, so on subsequent visits content loads without delay and does not need to be re-downloaded
What is prefetching? | A form of caching where algorithms predict which instructions or data are likely to be needed soon and load them into cache before they are requested
Predicting which instructions will be needed soon and loading them into cache before they are requested - what is this called? | Prefetching
Why is prefetching not always effective? | The algorithms can only make informed predictions about which instructions will be needed, with no guarantee of accuracy
Give two drawbacks of caching | Cache has limited size restricting how much data can be stored, and effective caching algorithms are difficult to implement
What is a library in programming? | A collection of commonly used, pre-tested subroutines packaged together for reuse across programs and projects
A collection of commonly used, pre-tested subroutines packaged together for reuse across programs and projects - what is this called? | A library
Give two examples of reusable program components | Implementations of abstract data structures (e.g. stacks, queues) and standard algorithms (e.g. quick sort, merge sort)
Why are reusable components more reliable than newly written code? | They have already been thoroughly tested and any bugs dealt with
Give two ways reusable components reduce development costs | Code does not need to be written from scratch, and well-tested components can be reused across future projects
How does decomposition relate to reusable program components? | When a problem is decomposed into smaller tasks, developers can identify where existing components from past projects or external sources can be reused instead of writing new code
Give one drawback of using third-party reusable components | They may have compatibility issues with the rest of the software, and modifying them to fit can be more costly and time-consuming than developing in-house
