What is the role of the CPU? | To fetch, decode, and execute instructions, processing all data within the computer
What does the ALU do? | Performs all arithmetic and logical operations within the CPU
What is the role of the Control Unit in the CPU? | Decodes instructions and controls the flow of data within the CPU and between the CPU and other devices. It also generates timing signals to synchronise operations
What are registers in the CPU? | Small, fast memory cells inside the CPU used to temporarily store data for a specific purpose. They operate faster than RAM or secondary storage
Small, fast memory cells inside the CPU used to temporarily store data for a specific purpose — what are these? | Registers
What does the Program Counter (PC) hold? | The address of the next instruction to be fetched and executed
What does the Accumulator (ACC) store? | Values temporarily, either after being inputted or loaded, or after being calculated in the ALU
What does the Memory Address Register (MAR) hold? | The address of the memory location that is to be read from or written to
What does the Memory Data Register (MDR) hold? | Data or instructions temporarily, either before being sent to memory or after being fetched from memory
What does the Current Instruction Register (CIR) hold? | The current instruction being executed, split into opcode and operand
What does the arithmetic circuit within the ALU carry out? | Arithmetic operations: addition, subtraction, multiplication, and division
What does the logic circuit within the ALU carry out? | Logical operations such as AND, OR, NOT, and XOR
What are status flags in the ALU? | Indicators that record the outcome of operations, such as an overflow flag (value too large for the register) and a zero flag (result is zero)
What is a bus in a computer system? | A set of parallel wires connecting two or more components, used to transfer data between them
A set of parallel wires connecting components in a computer to transfer data — what is this? | A bus
What is the system bus? | The collective name for the three buses connecting the CPU to main memory: data bus, address bus, and control bus
What does the data bus carry? | Data and instructions between components. It is bi-directional
What does the address bus carry? | Memory addresses specifying where data is to be sent to or retrieved from
What does the control bus carry? | Control signals between internal and external components, coordinating the use of the data and address buses
What determines how many bits can be transferred simultaneously on a bus? | The width of the bus (the number of parallel wires it contains)
What is the relationship between address bus width and addressable memory? | The width of the address bus is directly proportional to the number of addressable memory locations
What does a memory read signal on the control bus cause? | Data is read from a specific memory location and placed onto the data bus
What does an interrupt request signal on the control bus indicate? | That a device is requesting access to the CPU
What is the clock signal on the control bus used for? | To synchronise operations within the CPU
What does assembly code use to represent instructions? | Mnemonics (e.g. ADD for addition), which are a simplified way of representing machine code
What are the two parts of a machine code instruction held in the CIR? | Opcode and operand
What does the opcode specify in a machine code instruction? | The type of instruction to be executed
What does the operand contain in a machine code instruction? | The data, or the address of the data, upon which the operation is to be performed
What is the fetch-decode-execute (FDE) cycle? | The sequence of operations the CPU repeatedly carries out to fetch, decode, and execute each instruction
The sequence of operations the CPU repeatedly carries out to process instructions — what is this called? | The fetch-decode-execute (FDE) cycle
In the fetch phase, what is the first step? | The address held in the PC is copied to the MAR
In the fetch phase, how is the instruction retrieved from memory? | The address in the MAR is sent via the address bus, a read signal is sent on the control bus, and the instruction at that location is sent back to the MDR via the data bus
What happens to the PC during the fetch phase? | It is incremented by 1 to point to the next instruction
At the end of the fetch phase, where is the fetched instruction copied to? | From the MDR to the CIR
What happens during the decode phase of the FDE cycle? | The instruction in the CIR is split into opcode and operand, and the opcode is sent to the CU for decoding
What happens during the execute phase of the FDE cycle? | The decoded instruction is carried out. The specific registers and components used depend on the type of instruction
During execution of a LDA instruction, how does data reach the ACC? | The operand (memory address) is placed in the MAR, the data at that address is sent via the data bus to the MDR, then loaded into the ACC
During execution of a STA instruction, how is data written to memory? | The value in the ACC is copied to the MDR, the target address is placed in the MAR, and the data is sent from the MDR to that memory location
